Serial Number,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Residential Type
90549,2009,Stamford,0 SUMMER STREET S1263B,166300,230000,0.723043478,Condo
130101,2013,West Hartford,18 ROBIN ROAD #4,127260,198700,0.64046301,Condo
211528,2021,Norwalk,32 SHOREHAVEN RD,3658840,9950000,0.3677,Residential
180124,2018,Brooklyn,35 WOLF DEN RD,214700,345000,0.6223,Single Family
180215,2018,Berlin,43 SUGAR MAPLE LANE,235200,345000,0.6817,Single Family
130668,2013,Bristol,30 TOWER RD,159600,194000,0.822680412,Single Family
150163,2015,Windsor,199 EASTVIEW DR,257880,420000,0.614,Single Family
13397,2013,Newington,49 CEDAR RIDGE ROAD,115380,149900,0.769713142,Single Family
61684,2006,Norwalk,12 HARBOR BLUFF LN,350000,1400000,0.25,Condo
19013,2019,Norfolk,15 PINE LEDGE WAY,334340,427000,0.783,Single Family
20242,2020,Middlebury,40 KELLY RD,120700,255000,0.4733,Residential
15495,2015,Milford,71 C FOREST RD,172540,295000,0.584881356,Single Family
110207,2011,Torrington,35 WOODLAND RD,126450,168000,0.752678571,Single Family
100067,2010,Redding,242 REDDING RD,360800,486000,0.742386831,Single Family
12536,2012,Glastonbury,269 GEORGETOWN DR,143800,220000,0.653636364,Condo
80067,2008,Woodbridge,21 BARBERRY LANE,318780,445000,0.716359551,Single Family
13655,2013,Hartford,44 IRVING ST,46931,145000,0.323662069,Two Family
15321,2015,Hartford,45 CUMBERLAND ST,56496,190000,0.297347368,Single Family
90422,2009,West Hartford,186 RAYMOND RD,172100,190000,0.905789474,Two Family
12090,2012,Montville,19 ANDERSEN LN,209040,292000,0.715890411,Single Family
190012,2019,Chester,26 SPRING ST,328380,568000,0.5781,Single Family
150577,2015,Groton,98 SPYGLASS CIR,131950,195000,0.676666667,Condo
100226,2010,Farmington,60 LOVELY ST,213080,148000,1.43972973,Single Family
111152,2011,Stratford,311A NAVAJO LN,229880,371000,0.619622642,Condo
900632,2009,Bristol,74 BIRGE RD,110530,169862,0.65070469,Single Family
160064,2016,Cromwell,2 THAINSTONE,296730,395000,0.75121519,Condo
218167,2021,Middletown,132 BURGUNDY HILL LA,42000,90000,0.4666,Residential
201282,2020,New Haven,145 WOLCOTT ST,98140,269400,0.3642,Residential
2020082,2020,Ansonia,20 HIGH ACRES RD,205100,343000,0.5979,Residential
190219,2019,Guilford,8 FOX RUN,506160,418100,1.2106,Single Family
80175,2008,Southbury,97 STRONGTOWN RD,199120,297000,0.67043771,Single Family
200782,2020,Bristol,74 PECK LN,134190,281000,0.4775,Residential
130498,2013,Danbury,137 DEER HILL AVE,189300,321402,0.588982023,Single Family
100434,2010,Shelton,502 ELK RUN,399490,457000,0.874157549,Condo
21205,2021,East Haddam,24 NEPTUNE AVE,102870,215111,0.4782,Residential
11023,2011,Deep River,57 ESSEX ST,150080,27500,5.457454545,Single Family
10124,2010,Madison,14 APPLE WAY,237300,341375,0.695129989,Single Family
190732,2019,Danbury,1406 SIENNA DR,203100,286250,0.7095,Condo
130227,2013,Waterford,35 HUNTSBROOK DR,228930,325000,0.7044,Single Family
70052,2007,Windsor Locks,428 ELM ST,121500,197000,0.616751269,Single Family
160868,2016,Meriden,133 NO WALL ST,84910,168000,0.505416667,Single Family
150821,2015,New Britain,351 BROAD ST,78050,70000,1.115,Three Family
120569,2012,Wallingford,9 PROMONTORY DR,278600,395000,0.705316456,Single Family
180205,2018,Bridgeport,140-144 HAWLEY AVE,132770,225500,0.5887,Three Family
61823,2006,Waterbury,23 WALNUT AVE,44030,125000,0.35224,Single Family
211285,2021,Danbury,41 GOLDEN HILL RD,254500,490000,0.5193,Residential
200077,2020,East Granby,50 SCHOOLHOUSE LANDING,164900,306000,0.538888889,Residential
120223,2012,Southington,42 STONEGATE RD,133410,9000,14.82333333,Single Family
70618,2007,Norwalk,50 AIKEN ST #391,174720,313500,0.557320574,Condo
900227,2009,Wethersfield,1016 RIDGE RD,177800,249000,0.714056225,Single Family
1700039,2017,Middlebury,251 SANDY HILL RD,284500,360000,0.790277778,Single Family
210244,2021,Mansfield,1673 STAFFORD RD,162700,300000,0.5423,Residential
2000560,2020,Stamford,240 WARDWELL STREET #10,146650,248000,0.5913,Residential
150132,2015,East Lyme,61 E SHORE DR,464380,785000,0.591566879,Single Family
130180,2013,Cromwell,199 SKYVIEW DRIVE,100020,163500,0.611743119,Condo
200151,2020,East Lyme,33 BUSH HILL DR,145810,255000,0.5718,Residential
150921,2015,New Britain,145 BLODGETT ROY DR,80780,133200,0.606456456,Single Family
60149,2006,Fairfield,151 SCHOOL ST,298270,450000,0.662822222,Single Family
120045,2012,Norwich,207 MOHEGAN PARK RD,100000,18751,5.333048904,Single Family
12488,2012,Manchester,24 THOMPSON RD UNIT 7D,72000,53000,1.358490566,Condo
20200049,2020,North Canaan,10 BRAGG ST,108120,209500,0.516,Residential
172757,2017,Shelton,1 PROVIDENCE AVE,153930,275000,0.5597,Single Family
150510,2015,Killingly,6 MOCKINGBIRD DR,109480,139900,0.782558971,Condo
142131,2014,Brookfield,2 CANNON RD,282050,393000,0.717684478,Single Family
90521,2009,Stamford,148 SEATON ROAD #6C2,153200,140000,1.094285714,Condo
80053,2008,Portland,1346 TRYON ST,206500,50000,4.13,Single Family
80575,2008,Danbury,26 CANNONBALL DR,309900,400000,0.77475,Single Family
20261,2020,Darien,60 MIDDLESEX ROAD,608790,1161000,0.5243,Residential
110636,2011,Waterbury,827 ORONOKE RD #5-1,111100,46500,2.389247312,Condo
211072,2021,Norwalk,14 CRICKLEWOOD RD,408680,655000,0.6239,Residential
120001,2012,Portland,268 THOMPSON HILL RD,151760,175000,0.8672,Single Family
800212,2008,Farmington,111 WEBSTER ST,166310,255000,0.652196078,Single Family
200089,2020,East Haven,77 FORBES PL,173120,295000,0.5868,Residential
80169,2008,Simsbury,34 DEERFIELD LANE,200500,186000,1.077956989,Single Family
140134,2014,Cromwell,23 WOODBRIDGE LANE,126230,148300,0.85118004,Condo
110026,2011,Oxford,575 INVERNESS CT,260300,403240,0.645521278,Condo
60729,2006,Fairfield,36-40 CHURCHILL ST,309400,435000,0.711264368,Three Family
60508,2006,Trumbull,100 MEADOWVIEW DR,290200,420000,0.690952381,Single Family
2100654,2021,Stamford,55 RIDGE TREE LANE,438280,750000,0.5843,Residential
140337,2014,Bethel,144 ROCKWELL ROAD,236950,353000,0.671246459,Single Family
140320,2014,Southington,38 WEST CENTER ST,114050,100000,1.1405,Two Family
100234,2010,Trumbull,88 FLINT ST,259200,305000,0.849836066,Single Family
120484,2012,Greenwich,49 SOUTH WATER ST UNIT 2L,187320,250000,0.74928,Condo
140171,2014,East Hampton,63 MEEKS POINT RD,258020,420000,0.614333333,Single Family
200215,2020,Colchester,91 DAVID DR,134400,275000,0.4887,Residential
160171,2016,Stratford,365 THIRD AVE,234290,395000,0.593139241,Single Family
140450,2014,Wallingford,47 NOD BROOK RD,195100,243000,0.802880658,Single Family
14000146,2014,Granby,7 DOGWOOD CT,123060,195000,0.631076923,Condo
1700123,2017,East Haven,19 GEORGE ST,93350,95000,0.982631579,Single Family
200012,2020,Hebron,47 CHARLES LN,221170,380000,0.582,Residential
20186,2020,Southbury,140 E HERITAGE VILLAGE,56240,108000,0.5207,Residential
14142,2014,Orange,325 JUNIPER DR,202500,343500,0.589519651,Single Family
15641,2015,Milford,285 POND POINT AVE,196680,196600,1.000406918,Single Family
210598,2021,Norwich,12 HOMEWOOD PL,102100,240000,0.4254,Residential
201818,2020,Waterbury,236 WOLCOTT ST,63750,104000,0.6129,Residential
1700624,2017,New Milford,206 PROSPECT HILL RD,151130,175000,0.8636,Single Family
70415,2007,Newington,258-1 RICHARD ST,59220,80000,0.74025,Condo
100155,2010,Guilford,157 SCHOOLSIDE LN,349210,465000,0.750989247,Single Family
121038,2012,Bridgeport,100-104 GARFIELD AVE,199080,165000,1.206545455,Three Family
60343,2006,Middletown,343 BARBARA RD,109570,215000,0.509627907,Single Family
12467,2012,Manchester,193 HOMESTEAD STREET UNIT D-5,86000,64000,1.34375,Condo
170096,2017,Groton,301 BUDDINGTON RD L57,43890,85000,0.516352941,Single Family
210134,2021,Norwich,586 WEST THAMES ST #402,142700,255000,0.559607843,Residential
15036,2015,Hartford,63 COWLES ST,56207,189000,0.297391534,Single Family
10510,2010,New Haven,874 QUINNIPIAC AVENUE,188860,217000,0.870322581,Two Family
130497,2013,New Britain,66 HOWE RD,77070,77250,0.997669903,Single Family
90736,2009,Danbury,2 ELM TRAIL,211300,227000,0.930837004,Single Family
170069,2017,Ellington,130 HOFFMAN,197730,257000,0.769377432,Single Family
160005,2016,Avon,575 WEST AVON ROAD,172370,245000,0.70355102,Single Family
14055,2014,Monroe,13 MEADOWLARK CIR,149700,190000,0.787894737,Condo
80264,2008,New Milford,124 PERRY DR,178710,226400,0.789355124,Single Family
2100231,2021,Stamford,69 LAUREL LEDGE ROAD,443410,864500,0.5129,Residential
10262,2010,Groton,286 NOANK RD,293160,435000,0.673931034,Single Family
60247,2006,Rocky Hill,55B BROOKWOOD DR,76550,148000,0.51722973,Condo
190238,2019,Rocky Hill,3 HICKORY LANE,122990,174500,0.7048,Condo
20093,2020,Farmington,11-E GREENBRIAR DR,111140,153250,0.7252,Residential
210165,2021,New Haven,41 HAVEN ST,121030,172725,0.70070922,Residential
70410,2007,Greenwich,9 LOCKWOOD AVE,1829940,3075000,0.595102439,Single Family
160127,2016,Woodbridge,54 DILLON RD,257180,439000,0.585831435,Single Family
61376,2006,Norwalk,32 PINE ST #1A,151340,338500,0.447090103,Condo
17690,2017,East Hartford,87 MONTAGUE CIR.,79090,130000,0.6083,Single Family
900112,2009,Newtown,5 SILVER CITY ROAD,422580,550000,0.768327273,Single Family
130442,2013,Southington,70 WALKERS CROSSING,288770,431846,0.668687449,Single Family
170097,2017,Vernon,169 ELM HILL RD,111550,178500,0.624929972,Single Family
2020175,2020,Old Saybrook,25 SHEFFIELD ST UNIT 6,387800,589000,0.6584,Residential
60263,2006,Stafford,39 EDGEWOOD RD #39D,56000,93000,0.602150538,Condo
170410,2017,Norwalk,8 LACEY LN,368390,540000,0.6822,Single Family
20340,2020,Waterford,29 RIVERSIDE DRIVE,449310,715000,0.6284,Residential
140586,2014,Wallingford,46 JONES RD,191200,265000,0.721509434,Single Family
190713,2019,Fairfield,262 PUTTING GREEN ROAD,286370,400000,0.7159,Single Family
110569,2011,New Britain,22 CRANSTON TERR,125860,125000,1.00688,Single Family
210586,2021,Norwalk,324 STRAWBERRY HILL AVE UNIT A,89680,155000,0.5785,Residential
120100,2012,Stafford,203 HYDEVILLE RD,135240,235000,0.575489362,Single Family
150327,2015,Manchester,736 NORTH MAIN STREET,163100,200000,0.8155,Two Family
141496,2014,Bridgeport,94-100 GRANDVIEW AVENUE,142210,170000,0.836529412,Single Family
140026,2014,Easton,331 BLACK ROCK ROAD,196180,247000,0.794251012,Single Family
90509,2009,New Britain,235 CLINTON ST,110040,9000,12.22666667,Two Family
17282,2017,East Hartford,301 WOODYCREST DR.,88290,72540,1.217121588,Single Family
1800528,2018,New Milford,504 GASLIGHT CONDO,71260,96570,0.7379,Condo
210194,2021,Coventry,28 ARMSTRONG RD #A3,143400,275000,0.5214,Residential
90079,2009,Easton,23 ORCHARD LANE,455140,410000,1.110097561,Single Family
120118,2012,Norwich,136 HUNTERS RD LOT 97,53000,60000,0.883333333,Single Family
70069,2007,East Hartford,900 TOLLAND ST,130220,200000,0.6511,Single Family
21011,2021,Lebanon,120 COOK HILL RD,160480,285000,0.563,Residential
160065,2016,East Windsor,200 MAIN ST,105820,20299,5.213064683,Single Family
110029,2011,Thompson,11 VANDALL ST,148800,156500,0.950798722,Single Family
210128,2021,East Hampton,30 WANGONK TR,146240,275000,0.5317,Residential
20069,2020,Derby,41-43 PARK AVE,151200,353000,0.4283,Residential
140066,2014,Sharon,102 WEST WOODS RD #1,389500,675000,0.577037037,Single Family
150360,2015,Bethel,37 NASHVILLE ROAD EXT,104860,472192,0.222070683,Single Family
121123,2012,Bridgeport,111-113 LENOX STREET,154030,65000,2.369692308,Two Family
60602,2006,Torrington,223 WHITE OAK WAY,121700,219000,0.555707763,Single Family
61185,2006,New Britain,69 LURTON ST,75460,113000,0.667787611,Single Family
160528,2016,West Haven,110 SPRUCE ST,134680,170000,0.792235294,Single Family
190186,2019,Bridgeport,117 NASH LANE,125810,230000,0.547,Single Family
111320,2011,Stratford,296B AGAWAM DR,168070,180000,0.933722222,Condo
80217,2008,Cromwell,60 PASCO HILL ROAD,139580,198000,0.704949495,Single Family
160133,2016,Simsbury,24 CASTLEWOOD ROAD,194160,345000,0.562782609,Single Family
60023,2006,Barkhamsted,16 PARTRIDGE LN,166920,280000,0.596142857,Single Family
182251,2018,Waterbury,11 LAMONT ST,98800,110000,0.8981,Single Family
180010,2018,Bridgeport,3570 MADISON AVE,114830,137000,0.838175182,Single Family
110105,2011,Meriden,46 LYMAN AVE,82180,65000,1.264307692,Single Family
180121,2018,Southbury,77 LITTLE FOX LANE,380850,530000,0.7185,Single Family
80032,2008,Manchester,108 WALKER STREET,115700,153000,0.75620915,Single Family
170659,2017,Enfield,33 PLAY RD,107220,159900,0.6705,Single Family
190156,2019,Southbury,142 SCOUT RD,102780,45000,2.284,Single Family
70123,2007,Westbrook,40 COLD SPRING DR,262250,372000,0.704973118,Single Family
2002241,2020,Stamford,2475 SUMMER STREET UNIT 3D,132580,225000,0.5892,Residential
180071,2018,Ansonia,6 BERKSHIRE CR,110200,185000,0.5956,Single Family
190213,2019,Norwich,100 OX HILL RD,105100,172850,0.608,Single Family
210568,2021,East Windsor,29B FOLKSTONE RD,93520,192000,0.487,Residential
21220,2021,Watertown,148 PULLEN AVE,148400,182500,0.8131,Residential
160493,2016,Stratford,95 FAIRFAX DR,153580,215000,0.714325581,Single Family
120044,2012,Easton,35 EASTON HEIGHTS LN,826900,1000000,0.8269,Single Family
200673,2020,Enfield,4 BRENTWOOD DR,147960,295000,0.5015,Residential
70005,2007,Portland,18 FAIRVIEW ST,146090,139900,1.04424589,Single Family
100249,2010,Danbury,10 OLD LANTERN RD,243400,245000,0.993469388,Single Family
180217,2018,Waterford,6 VIVIAN CT,103130,185000,0.5574,Single Family
180746,2018,Southington,12 ACRE WAY,300920,478000,0.6295,Single Family
60463,2006,Newtown,8 ADAMS HILL RD,429300,855000,0.502105263,Single Family
20478,2020,Newtown,34 TAUNTON HILL ROAD,399110,745000,0.5357,Residential
17135,2017,West Haven,69 ATWATER ST,103390,150000,0.6892,Single Family
90342,2009,Middletown,19 TUSCANY HILLS DR,14000,349691,0.040035345,Condo
70133,2007,Greenwich,59 VALLEY RD,725340,550000,1.3188,Two Family
150043,2015,Redding,96 PORTLAND AVENUE,356400,410000,0.869268293,Three Family
151268,2015,Shelton,15 WOODLAND PARK,97860,70000,1.398,Single Family
191286,2019,Milford,11 MYERS CT,228820,390500,0.586,Single Family
10206,2010,Southington,507 PLEASANT ST,254870,354000,0.719971751,Single Family
13032,2013,Ridgefield,638-27 DANBURY RD,450240,747000,0.602730924,Condo
160068,2016,Rocky Hill,381 PARSONAGE STREET,144620,223000,0.648520179,Single Family
900102,2009,Wethersfield,76 CUMMINGS AVE,185700,215000,0.86372093,Single Family
180451,2018,Danbury,7 FRANDON DR,176700,285000,0.62,Single Family
130412,2013,Stratford,34 HAWLEY GLEN,143220,168000,0.8525,Condo
13142,2013,Wilton,450 BELDEN HILL RD,524790,1035000,0.507043478,Single Family
210036,2021,Lyme,274 JOSHUATOWN RD,1222690,3800000,0.3217,Residential
200453,2020,Guilford,20 SNOWBIRD CT,193760,365000,0.5308,Residential
70406,2007,Trumbull,6 SPRUCE ST,239500,110000,2.177272727,Single Family
181771,2018,Bridgeport,2660 NORTH AVE UNIT 239,121760,169900,0.716656857,Condo
181494,2018,Bridgeport,800 SEAVIEW AVE UNIT 790-2,81970,211955,0.386733033,Condo
200272,2020,East Haddam,74 FALLS BASHAN RD,344330,607000,0.5672,Residential
210268,2021,South Windsor,200 BROOK ST,185900,290000,0.641,Residential
90678,2009,Greenwich,"17 MILTIADES AVENUE,RIVERSIDE,",535290,850000,0.629752941,Single Family
90523,2009,Milford,105 BERTROSE AVENUE,186950,275000,0.679818182,Single Family
140098,2014,New Haven,43 GOODYEAR STREET,56070,51000,1.099411765,Single Family
2100348,2021,Stamford,72 DELEO DRIVE,317060,535000,0.5926,Residential
200441,2020,East Haven,25 DEERFIELD ST,117630,121500,0.968148148,Residential
190213,2019,Windham,238 WALNUT ST,97250,155000,0.6274,Single Family
150385,2015,Wethersfield,81 HILLCREST AVE,187400,313500,0.597767145,Single Family
70452,2007,Stratford,25C HAPPY HOLLOW CIR,166040,255000,0.651137255,Condo
110299,2011,Newtown,33 TAUNTON LAKE ROAD,237800,240000,0.990833333,Single Family
90538,2009,Manchester,560 VERNON STREET,171400,120601,1.421215413,Single Family
200364,2020,East Lyme,6 DAMON HEIGHTS RD,148890,210000,0.709,Residential
170077,2017,Hebron,42 CHITTENDEN RD,217830,350000,0.622371429,Single Family
60551,2006,Glastonbury,12 KNOLLWOOD DR,202400,410000,0.493658537,Single Family
140143,2014,Guilford,145 TUTTLES POINT RD,702790,450000,1.561755556,Single Family
110532,2011,Bristol,70 BOARDMAN ST UNC-7,40670,41500,0.98,Condo
170586,2017,Stratford,180 NEMERGUT DR,187390,188000,0.9967,Single Family
16204,2016,Mansfield,545 WORMWOOD HILL RD,218900,394000,0.555583756,Single Family
60380,2006,Ridgefield,90 GROVE ST UT 107,358650,623700,0.575036075,Single Family
60116,2006,Rocky Hill,24 ORCHARD ST,126350,240000,0.526458333,Single Family
211170,2021,West Haven,330 SAVIN AVE #64,63280,149250,0.4239,Residential
70033,2007,Burlington,28 EAST SHORE BLVD,104720,150000,0.698133333,Single Family
180335,2018,Stonington,11 THOMPSON ST,129600,178000,0.728,Single Family
11484,2011,Fairfield,79 FLORA BOULEVARD,353080,555125,0.636036929,Single Family
19168,2019,East Hartford,318 FOREST ST,140300,235000,0.597,Single Family
60270,2006,Newtown,20 CEMETERY RD,314370,600000,0.52395,Single Family
200669,2020,Waterbury,24 QUENTIN ST,96950,190000,0.5102,Residential
190567,2019,Groton,9 NORTH PROSPECT ST,274330,370000,0.7414,Single Family
160097,2016,Stafford,30 HAMPDEN RD,207690,231250,0.898118919,Single Family
130102,2013,Winchester,23-25 WETMORE AVE,107660,91550,1.175969416,Two Family
150135,2015,Woodbridge,25 HUNTING HILL RD,434280,630000,0.689333333,Single Family
120132,2012,Tolland,99 SHARON DRIVE,208900,260000,0.803461538,Single Family
18022,2018,Lisbon,20 LOWER BLISSVILLE ROAD,113550,48800,2.3268,Single Family
200253,2020,Colchester,56 LYNN ST,116300,236000,0.4927,Residential
100592,2010,Stamford,211 LITTLE HILL DRIVE,415270,500000,0.83054,Single Family
211037,2021,West Hartford,1616 BOULEVARD,260100,500000,0.5202,Residential
170005,2017,Branford,45 LINDSLEY ST,179500,278300,0.644987424,Single Family
160262,2016,New Canaan,45 NURSERY RD,608020,986000,0.616653144,Single Family
160138,2016,Southington,102 OLD TURNPIKE RD,247900,220000,1.126818182,Single Family
210215,2021,Cromwell,1 BIRCH COURT,81690,120000,0.6807,Residential
171717,2017,Milford,67 HILL ST #67C,254470,364750,0.6976,Condo
210104,2021,Avon,73 BRONSON ROAD,192600,259000,0.7436,Residential
90234,2009,Fairfield,160 FAIRFIELD WOODS ROAD #66,202230,214000,0.945,Condo
70477,2007,Hartford,154 SOUTH WHITNEY ST,22627,220000,0.10285,Condo
18160258,2018,Redding,29 SIDE CUT RD,344800,479000,0.7198,Single Family
10116,2010,Bloomfield,27 APPLEWOOD ROAD,127120,159000,0.799496855,Single Family
2002442,2020,Stamford,45 RALPH STREET,398360,825000,0.4828,Residential
110276,2011,Norwalk,115 KEELER AVE,311150,215000,1.447209302,Single Family
191279,2019,Fairfield,4265 CONGRESS STREET,687470,1150000,0.5978,Single Family
160129,2016,Berlin,128 SUNSET LANE,188900,300000,0.629666667,Single Family
180030,2018,Shelton,136 TUCKAHOE LN,162400,266000,0.6105,Single Family
20201369,2020,Stratford,75 HOUSATONIC AVENUE,171710,434900,0.3948,Residential
150701,2015,Killingly,310 VALLEY RD,69790,43512,1.603925354,Single Family
80722,2008,West Hartford,70 ROCKLEDGE DRIVE,213400,302500,0.705454545,Single Family
210196,2021,Clinton,14 PLYMOUTH CT,79200,178350,0.444,Residential
180178,2018,Orange,11 HIGH MEADOW LA,239800,323000,0.7424,Single Family
61129,2006,Waterbury,215 OAKVILLE AVE,75460,163850,0.46054318,Single Family
150493,2015,Bristol,56 ROUND HILL RD,120050,157000,0.764649682,Single Family
11038,2011,Fairfield,1125 PEQUOT AVENUE,5104610,5750000,0.887758261,Single Family
90013,2009,Wolcott,1259 WOODTICK RD,143930,197000,0.730609137,Single Family
130152,2013,East Lyme,32 CAVASIN DR,176260,265000,0.665132075,Single Family
11094,2011,Burlington,18 WOODCREST DR UNIT 19,85960,105500,0.81478673,Condo
200248,2020,Plainville,20 EXETER AVE,116760,187000,0.6243,Residential
14200,2014,Ridgefield,61 ROCKWELL RD,1252990,1425000,0.879291228,Single Family
60024,2006,Woodstock,10 CORNFIELD PT,150600,237000,0.635443038,Condo
90116,2009,New Canaan,95 WARDWELL DRIVE,977060,1000000,0.97706,Single Family
200420,2020,Danbury,23 BERKSHIRE DR,173100,207412,0.834570806,Residential
120224,2012,West Hartford,1134 BOULEVARD,201110,175000,1.1492,Two Family
90629,2009,West Hartford,1749 ASYLUM AVE,218500,264000,0.827651515,Single Family
12312,2012,North Haven,4 RUSSELL ROAD,219940,315000,0.698222222,Single Family
170124,2017,East Lyme,83 WEBSTER RD,157920,195000,0.8098,Single Family
170004,2017,Bloomfield,42 FOOTHILLS WAY,136220,255000,0.534196078,Single Family
211264,2021,Bristol,70 INDIANA ST,139370,360000,0.3871,Residential
180053,2018,Enfield,GEORGETOWN DR BFU15,48100,60000,0.8016,Condo
131266,2013,Waterbury,53 BROOKVIEW AVE,62110,27000,2.30037037,Single Family
800285,2008,South Windsor,1204 SUNFIELD DR,114150,160000,0.7134375,Condo
110108,2011,Norwich,21 HICKORY ST,125000,47000,2.659574468,Single Family
900179,2009,New London,54 PARK ST,167580,142500,1.176,Single Family
150591,2015,Manchester,266 KNOLLWOOD ROAD,180700,280000,0.645357143,Single Family
61182,2006,Norwalk,105 RICHARDS AVE #2507,200900,387000,0.519121447,Condo
161117,2016,Stamford,90 FIELDSTONE ROAD,469660,710000,0.661492958,Single Family
90259,2009,Groton,113 WARNER ST,133420,169900,0.785285462,Single Family
190112,2019,New Haven,1738 QUINNIPIAC AV,119140,220000,0.5415,Single Family
1700221,2017,New Milford,62 WEST ST,137620,188000,0.732,Three Family
60057,2006,Cheshire,486 OAK AVE 50,63000,123000,0.512195122,Condo
1500055,2015,Bolton,16 VALERIE DR,203500,290000,0.701724138,Single Family
190112,2019,Fairfield,123 FOREST AVENUE,303940,760000,0.3999,Single Family
100261,2010,Stratford,290 ROOSEVELT AVE,125930,250000,0.50372,Single Family
190332,2019,Newington,67 LAMP LIGHTER LN,209150,325000,0.6435,Single Family
90441,2009,Danbury,3B EAST LAKE RD,675800,670000,1.008656716,Single Family
12094,2012,Derby,16 LAFAYETTE ST,72240,69000,1.046956522,Two Family
150189,2015,New London,235 COLMAN ST,73080,71300,1.024964937,Two Family
140061,2014,Norwalk,31 BETTS PL 8,145110,180000,0.806166667,Condo
60195,2006,Haddam,19 FIELDSTONE LN UT 15,327100,515750,0.634222007,Single Family
2100059,2021,Prospect,148 SYCAMORE DR,201030,387100,0.519323172,Residential
200124,2020,Middletown,4 WEST MEADOW LA #03,93230,175000,0.5327,Residential
13028,2013,Mansfield,886 STAFFORD RD,132720,160000,0.8295,Single Family
140215,2014,Guilford,2945 BOSTON POST RD,194650,935400,0.208092795,Single Family
90732,2009,Fairfield,69 OLD ELM ROAD,302820,380000,0.796894737,Single Family
13155,2013,Ridgefield,GARAGE #50 HILL TOP DR,6720,15000,0.448,Condo
180739,2018,Fairfield,356 ROUND HILL ROAD,273140,370000,0.7382,Single Family
200269,2020,Waterbury,131 DRAHER ST,110600,202500,0.5461,Residential
180945,2018,Waterbury,142 AVON CIRCLE,145390,247500,0.5874,Single Family
130242,2013,Westport,16 SPRITEVIEW AVE,1356900,2650000,0.512037736,Single Family
210827,2021,Norwalk,1 LAKE ST,204070,390000,0.5232,Residential
1900157,2019,East Haven,272 TYLER ST,122760,210000,0.5846,Single Family
100491,2010,New Britain,120 OAKLAND AVE,133210,176000,0.756875,Single Family
190730,2019,Norwich,79 OAKRIDGE ST,72000,6000,12,Two Family
160803,2016,Fairfield,3937 PARK AVENUE,245350,345000,0.71115942,Condo
140041,2014,Somers,863 MAIN ST,135400,201000,0.673631841,Single Family
170144,2017,Windham,211 NORTH ST,89680,140750,0.6371,Single Family
161069,2016,Bridgeport,389 SUMMERFIELD AVE,116770,280000,0.417035714,Two Family
60343,2006,Greenwich,6 HILLSIDE DR,1863470,2875000,0.648163478,Single Family
15559,2015,East Hartford,696 FOREST ST.,117520,188000,0.625106383,Single Family
170600,2017,Trumbull,171 FERNWOOD RD,196770,315000,0.6246,Single Family
130535,2013,Danbury,34A PADANARAM RD #118,55500,81500,0.680981595,Condo
80024,2008,Cromwell,18 BUTTERNUT DRIVE,283560,505000,0.56150495,Single Family
130102,2013,Hebron,9 ALICE LANE,236110,369900,0.638307651,Single Family
180265,2018,Enfield,TARIFF COMMONS UNIT G,53090,34761,1.5272,Condo
160394,2016,Westport,133 HILLANDALE ROAD,644000,1250000,0.5152,Single Family
170121,2017,Bloomfield,35 SADDLE RIDGE,272230,225000,1.209911111,Single Family
60079,2006,Rocky Hill,87 BARRY PL,175980,330000,0.533272727,Single Family
120044,2012,Torrington,141 N CHAPEL ST,110210,145000,0.760068966,Single Family
21044,2021,Orange,831 RAIL FENCE RD,244900,496000,0.4937,Residential
200765,2020,Norwich,364-366 NORWICH AVE,77900,111000,0.7018,Residential
210089,2021,Stonington,44 PARK AVE,117500,413332,0.2842,Residential
18077,2018,Deep River,62 RIVERVIEW AVE,221410,375000,0.5904,Single Family
12007,2012,Darien,11 WILLIAM STREET,513730,812500,0.632283077,Single Family
210659,2021,Waterbury,88 WILSON ST,57630,85000,0.678,Residential
190057,2019,Prospect,43 WOODCREST DR,152590,175000,0.8719,Single Family
70166,2007,Plainville,2 CRESTWOOD LANE,161280,258000,0.625116279,Single Family
12217,2012,Bloomfield,32 WOODLAND AVE,124250,85000,1.461764706,Single Family
210089,2021,Hamden,75 WASHINGTON AVE U7-302,66430,130000,0.511,Residential
90236,2009,Glastonbury,125 HOPEWELL RD,158300,210000,0.753809524,Single Family
90333,2009,Bridgeport,109 GROVERS AVENUE,463980,495000,0.937333333,Single Family
70264,2007,Watertown,27 PINE RIDGE DR,62300,362500,0.171862069,Single Family
200040,2020,Westbrook,611 TOBY HILL RD,249580,430000,0.5804,Residential
1600339,2016,Guilford,567 GOOSE LN,235970,368000,0.641222826,Single Family
90039,2009,Ellington,1 ABBOTT RD #46,80810,129900,0.622093918,Condo
160007,2016,Stratford,130 CHESHIRE ST,183960,225000,0.8176,Single Family
70214,2007,Windham,138 JERUSALEM RD,118490,148000,0.800608108,Single Family
170928,2017,Killingly,207 CRANBERRY BOG RD,171710,289000,0.5941,Single Family
120074,2012,East Granby,34 SCHOOLHOUSE LANDING,165700,259000,0.63976834,Condo
16674,2016,East Hartford,121 HERON RD.,89610,170000,0.527117647,Single Family
140824,2014,Waterbury,167 TRANSIT ST,84270,88000,0.957613636,Single Family
70043,2007,Marlborough,52 JOHNSON RD,250810,300000,0.836033333,Single Family
